ㄚ	a1
ㄎㄢ	kan1
ㄎㄢˇ	kan3
ㄎㄢˋ	kan4
˙ㄎㄢ	kan5
ㄎㄤ	kang1
ㄎㄤˊ	kang2
ㄎㄤˇ	kang3
ㄎㄤˋ	kang4
˙ㄎㄤ	kang5
ㄎㄠ	kao1
ㄎㄠˇ	kao3
ㄎㄠˋ	kao4
ㄎㄜ	ke1
ㄎㄜˊ	ke2
ㄎㄜˇ	ke3
ㄎㄜˋ	ke4
˙ㄎㄜ	ke5
ㄎㄟ	kei1
ㄎㄣˇ	ken3
ㄎㄣˋ	ken4
ㄎㄥ	keng1
ㄎㄥˇ	keng3
˙ㄎㄥ	keng5
ㄎㄨㄥ	kong1
ㄎㄨㄥˇ	kong3
ㄎㄨㄥˋ	kong4
ㄎㄡ	kou1
ㄎㄡˇ	kou3
ㄎㄡˋ	kou4
˙ㄎㄡ	kou5
ㄎㄨ	ku1
ㄎㄨˇ	ku3
ㄎㄨˋ	ku4
˙ㄎㄨ	ku5
ㄎㄨㄚ	kua1
ㄎㄨㄚˇ	kua3
ㄎㄨㄚˋ	kua4
ㄎㄨㄞ	kuai1
ㄎㄨㄞˇ	kuai3
ㄎㄨㄞˋ	kuai4
˙ㄎㄨㄞ	kuai5
ㄎㄨㄢ	kuan1
ㄎㄨㄢˇ	kuan3
ㄎㄨㄤ	kuang1
ㄎㄨㄤˊ	kuang2
ㄎㄨㄤˇ	kuang3
ㄎㄨㄤˋ	kuang4
˙ㄎㄨㄤ	kuang5
ㄎㄨㄟ	kui1
ㄎㄨㄟˊ	kui2
ㄎㄨㄟˇ	kui3
ㄎㄨㄟˋ	kui4
ㄎㄨㄣ	kun1
ㄎㄨㄣˇ	kun3
ㄎㄨㄣˋ	kun4
˙ㄎㄨㄣ	kun5
ㄎㄨㄛˇ	kuo3
ㄎㄨㄛˋ	kuo4
ㄌㄚ	la1
ㄌㄚˊ	la2
ㄌㄚˇ	la3
ㄌㄚˋ	la4
˙ㄌㄚ	la5
ㄌㄞˊ	lai2
ㄌㄞˇ	lai3
ㄌㄞˋ	lai4
˙ㄌㄞ	lai5
ㄌㄢˊ	lan2
ㄌㄢˇ	lan3
ㄌㄢˋ	lan4
˙ㄌㄢ	lan5
ㄌㄤ	lang1
ㄌㄤˊ	lang2
ㄌㄤˇ	lang3
ㄌㄤˋ	lang4
˙ㄌㄤ	lang5
ㄌㄠ	lao1
ㄌㄠˊ	lao2
ㄌㄠˇ	lao3
ㄌㄠˋ	lao4
˙ㄌㄠ	lao5
ㄌㄜ	le1
ㄌㄜˋ	le4
˙ㄌㄜ	le5
ㄌㄟ	lei1
ㄌㄟˊ	lei2
ㄌㄟˇ	lei3
ㄌㄟˋ	lei4
˙ㄌㄟ	lei5
ㄌㄥ	leng1
ㄌㄥˊ	leng2
ㄌㄥˇ	leng3
ㄌㄥˋ	leng4
˙ㄌㄥ	leng5
ㄌㄧ	li1
ㄌㄧˊ	li2
ㄌㄧˇ	li3
ㄌㄧˋ	li4
˙ㄌㄧ	li5
ㄌㄧㄚˇ	lia3
ㄌㄧㄢˊ	lian2
ㄌㄧㄢˇ	lian3
ㄌㄧㄢˋ	lian4
˙ㄌㄧㄢ	lian5
ㄌㄧㄤˊ	liang2
ㄌㄧㄤˇ	liang3
ㄌㄧㄤˋ	liang4
˙ㄌㄧㄤ	liang5
ㄌㄧㄠ	liao1
ㄌㄧㄠˊ	liao2
ㄌㄧㄠˇ	liao3
ㄌㄧㄠˋ	liao4
˙ㄌㄧㄠ	liao5
ㄌㄧㄝ	lie1
ㄌㄧㄝˊ	lie2
ㄌㄧㄝˇ	lie3
ㄌㄧㄝˋ	lie4
˙ㄌㄧㄝ	lie5
ㄌㄧㄣ	lin1
ㄌㄧㄣˊ	lin2
ㄌㄧㄣˇ	lin3
ㄌㄧㄣˋ	lin4
ㄌㄧㄥ	ling1
ㄌㄧㄥˊ	ling2
ㄌㄧㄥˇ	ling3
ㄌㄧㄥˋ	ling4
˙ㄌㄧㄥ	ling5
